Sl. No.,STATE/U.T.,Full Time Teachers - Male,Full Time Teachers - Female,Full Time Teachers - Total,Para/Contract Teachers - Male,Para/Contract Teachers - Female,Para/Contract Teachers - Total
1,Andaman  Nicobar Islands,382,535,917,6,47,53
2,Andhra Pradesh,87189,80764,167953,14247,17983,32230
3,Arunachal Pradesh,1736,1061,2797,1523,900,2423
4,Assam,49897,27963,77860,1365,1143,2508
5,Bihar,59910,40202,100112,27639,25637,53276
6,Chandigarh,21,171,192,15,60,75
7,Chhattisgarh,26219,12263,38482,38648,22904,61552
8,Dadra  Nagar Haveli,147,80,227,58,99,157
9,Daman  Diu,58,186,244,3,43,46
10,Delhi,7779,17533,25312,721,1703,2424
11,Goa,313,2373,2686,51,321,372
12,Gujarat,9739,9882,19621,273,553,826
13,Haryana,16119,14606,30725,3632,3078,6710
14,Himachal Pradesh,12458,10187,22645,3280,1951,5231
15,Jammu  Kashmir,13268,9923,23191,6940,3722,10662
16,Jharkhand,10107,4414,14521,27799,10143,37942
17,Karnataka,32788,30820,63608,1957,3827,5784
18,Kerala,9462,31653,41115,174,586,760
19,Lakshadweep,125,100,225,9,24,33
20,Madhya Pradesh,125492,66177,191669,10163,6360,16523
21,Maharashtra,66040,59378,125418,14247,7863,22110
22,Manipur,4416,3237,7653,183,114,297
23,Meghalaya,7797,8798,16595,569,1406,1975
24,Mizoram,1974,2150,4124,1307,1058,2365
25,Nagaland,4403,3208,7611,423,390,813
26,Orissa,34268,21900,56168,17676,11942,29618
27,Puducherry,529,1238,1767,35,102,137
28,Punjab,12648,22828,35476,3855,6273,10128
29,Rajasthan,59739,28385,88124,9216,3310,12526
30,Sikkim,1659,1368,3027,84,177,261
31,Tamil Nadu,24646,101559,126205,1156,10604,11760
32,Tripura,4808,1511,6319,1945,718,2663
33,Uttar Pradesh,222244,147367,369611,82721,106231,188952
34,Uttarakhand,13699,18478,32177,2950,3414,6364
35,West Bengal,103346,39577,142923,9844,10123,19967
INDIA,INDIA,1025425,821875,1847300,284714,264809,549523
