Sl. No.,STATE/U.T.,Full Time Teachers - Male,Full Time Teachers - Female,Full Time Teachers - Total,Para/Contract Teachers - Male,Para/Contract Teachers - Female,Para/Contract Teachers - Total
1,Andaman  Nicobar Islands,387,479,866,25,44,69
2,Andhra Pradesh,111337,87475,198812,10091,10534,20625
3,Arunachal Pradesh,1543,716,2259,363,287,650
4,Assam,33415,14491,47906,1563,1361,2924
5,Bihar,16421,4034,20455,3880,1172,5052
6,Chandigarh,273,1444,1717,131,312,443
7,Chhattisgarh,3793,3260,7053,2985,2239,5224
8,Dadra  Nagar Haveli,82,77,159,19,30,49
9,Daman  Diu,126,116,242,17,13,30
10,Delhi,3439,7111,10550,253,301,554
11,Goa,1903,4240,6143,108,337,445
12,Gujarat,22194,9136,31330,902,786,1688
13,Haryana,17755,16868,34623,3372,3159,6531
14,Himachal Pradesh,5425,5475,10900,1173,1061,2234
15,Jammu  Kashmir,14410,14307,28717,1288,1241,2529
16,Jharkhand,8472,5516,13988,927,830,1757
17,Karnataka,52283,50461,102744,4712,4516,9228
18,Kerala,9305,28493,37798,271,625,896
19,Lakshadweep,65,16,81,4,5,9
20,Madhya Pradesh,21503,19329,40832,2189,1905,4094
21,Maharashtra,99034,56169,155203,7248,5211,12459
22,Manipur,5439,4385,9824,840,744,1584
23,Meghalaya,3521,2939,6460,241,300,541
24,Mizoram,2339,1149,3488,299,232,531
25,Nagaland,3080,2678,5758,434,378,812
26,Orissa,43702,16132,59834,4986,4398,9384
27,Puducherry,984,2197,3181,55,171,226
28,Punjab,13070,27352,40422,2111,5013,7124
29,Rajasthan,67890,24051,91941,5613,2783,8396
30,Sikkim,1148,1000,2148,116,151,267
31,Tamil Nadu,17899,44136,62035,1658,5989,7647
32,Tripura,5213,1860,7073,123,89,212
33,Uttar Pradesh,31555,14232,45787,4672,2591,7263
34,Uttarakhand,5477,2868,8345,148,179,327
35,West Bengal,40238,22503,62741,6310,8036,14346
INDIA,INDIA,664720,496695,1161415,69127,67023,136150
