Sl. No.,STATE/U.T.,Full Time Teachers - Male,Full Time Teachers - Female,Full Time Teachers - Total,Para/Contract Teachers - Male,Para/Contract Teachers - Female,Para/Contract Teachers - Total
1,Andaman  Nicobar Islands,564,477,1041,36,59,95
2,Andhra Pradesh,12613,4118,16731,4859,2064,6923
3,Arunachal Pradesh,934,204,1138,109,54,163
4,Assam,9723,3679,13402,502,311,813
5,Bihar,8936,1968,10904,1092,322,1414
6,Chandigarh,35,69,104,30,60,90
7,Chhattisgarh,5740,2505,8245,4818,3045,7863
8,Dadra  Nagar Haveli,55,40,95,32,32,64
9,Daman  Diu,48,30,78,15,17,32
10,Delhi,1365,1515,2880,45,40,85
11,Goa,172,181,353,24,62,86
12,Gujarat,14065,4826,18891,287,136,423
13,Haryana,19104,14463,33567,3113,3148,6261
14,Himachal Pradesh,11108,7350,18458,3002,2274,5276
15,Jammu  Kashmir,6652,3177,9829,1045,557,1602
16,Jharkhand,1419,432,1851,100,68,168
17,Karnataka,8980,3954,12934,608,336,944
18,Kerala,20656,44821,65477,1026,2362,3388
19,Lakshadweep,126,42,168,42,28,70
20,Madhya Pradesh,16691,7386,24077,1234,790,2024
21,Maharashtra,48436,10561,58997,3997,1676,5673
22,Manipur,1145,869,2014,204,206,410
23,Meghalaya,656,420,1076,33,33,66
24,Mizoram,111,58,169,6,3,9
25,Nagaland,414,487,901,31,38,69
26,Orissa,2685,920,3605,177,142,319
27,Puducherry,568,644,1212,21,45,66
28,Punjab,9811,12369,22180,1039,2017,3056
29,Rajasthan,35136,7357,42493,3495,869,4364
30,Sikkim,815,889,1704,99,99,198
31,Tamil Nadu,22746,28736,51482,1805,3942,5747
32,Tripura,4607,1933,6540,37,27,64
33,Uttar Pradesh,53069,11403,64472,5491,1828,7319
34,Uttarakhand,14714,3499,18213,398,239,637
35,West Bengal,44407,14495,58902,6816,6786,13602
INDIA,INDIA,378306,195877,574183,45668,33715,79383
