Sl. No.,STATE/U.T.,Full Time Teachers - Male,Full Time Teachers - Female,Full Time Teachers - Total,Para/Contract Teachers - Male,Para/Contract Teachers - Female,Para/Contract Teachers - Total
1,Andaman  Nicobar Islands,419,631,1050,8,19,27
2,Andhra Pradesh,12787,6973,19760,3659,2022,5681
3,Arunachal Pradesh,965,394,1359,73,81,154
4,Assam,3880,3841,7721,141,204,345
5,Bihar,6025,3336,9361,556,258,814
6,Chandigarh,520,2779,3299,168,587,755
7,Chhattisgarh,5977,7476,13453,1340,1856,3196
8,Dadra  Nagar Haveli,55,115,170,41,87,128
9,Daman  Diu,65,45,110,24,11,35
10,Delhi,17525,42810,60335,643,1579,2222
11,Goa,325,345,670,25,76,101
12,Gujarat,16927,11479,28406,530,392,922
13,Haryana,7761,18183,25944,1159,2497,3656
14,Himachal Pradesh,2197,3719,5916,297,601,898
15,Jammu  Kashmir,3365,4446,7811,449,424,873
16,Jharkhand,2662,2641,5303,239,233,472
17,Karnataka,7856,6453,14309,1533,1119,2652
18,Kerala,8105,27194,35299,317,1013,1330
19,Lakshadweep,116,89,205,14,26,40
20,Madhya Pradesh,24930,32100,57030,1497,1644,3141
21,Maharashtra,26779,21025,47804,2281,1995,4276
22,Manipur,799,843,1642,136,98,234
23,Meghalaya,464,912,1376,29,44,73
24,Mizoram,652,505,1157,193,159,352
25,Nagaland,972,1244,2216,72,87,159
26,Orissa,1915,1792,3707,209,196,405
27,Puducherry,1093,2075,3168,48,87,135
28,Punjab,7423,21814,29237,776,3183,3959
29,Rajasthan,23586,18975,42561,2107,1482,3589
30,Sikkim,74,110,184,4,6,10
31,Tamil Nadu,32818,79957,112775,2862,10627,13489
32,Tripura,2026,1930,3956,39,72,111
33,Uttar Pradesh,39038,31577,70615,3091,3107,6198
34,Uttarakhand,4448,5919,10367,317,596,913
35,West Bengal,23100,23796,46896,2037,3946,5983
INDIA,INDIA,287649,387523,675172,26914,40414,67328
