Sl. No.,STATE/U.T.,Full Time Teachers - Male,Full Time Teachers - Female,Full Time Teachers - Total,Para/Contract Teachers - Male,Para/Contract Teachers - Female,Para/Contract Teachers - Total
1,Andaman  Nicobar Islands,348,430,778,5,37,42
2,Andhra Pradesh,73299,48181,121480,11724,11758,23482
3,Arunachal Pradesh,1510,617,2127,1418,671,2089
4,Assam,47363,21725,69088,1307,1013,2320
5,Bihar,56812,36361,93173,26989,24432,51421
6,Chandigarh,0,0,0,0,0,0
7,Chhattisgarh,23476,8046,31522,37630,21126,58756
8,Dadra  Nagar Haveli,146,75,221,57,87,144
9,Daman  Diu,43,100,143,3,21,24
10,Delhi,970,1271,2241,70,93,163
11,Goa,231,1146,1377,30,160,190
12,Gujarat,8556,6643,15199,195,319,514
13,Haryana,15117,11000,26117,3452,2457,5909
14,Himachal Pradesh,12302,9346,21648,3267,1858,5125
15,Jammu  Kashmir,12602,7860,20462,6728,3376,10104
16,Jharkhand,9612,3421,13033,27261,9385,36646
17,Karnataka,29548,22386,51934,1398,2477,3875
18,Kerala,7651,24361,32012,150,456,606
19,Lakshadweep,80,56,136,4,17,21
20,Madhya Pradesh,114472,46534,161006,9599,5100,14699
21,Maharashtra,54491,30468,84959,13148,5931,19079
22,Manipur,3973,2571,6544,164,92,256
23,Meghalaya,7396,7434,14830,535,1208,1743
24,Mizoram,1382,826,2208,1111,666,1777
25,Nagaland,4152,2594,6746,405,357,762
26,Orissa,32681,17010,49691,17398,10962,28360
27,Puducherry,271,565,836,32,69,101
28,Punjab,11641,17874,29515,3658,5292,8950
29,Rajasthan,56094,22612,78706,8901,2829,11730
30,Sikkim,1638,1279,2917,83,170,253
31,Tamil Nadu,20011,57185,77196,583,3861,4444
32,Tripura,4501,1191,5692,1859,654,2513
33,Uttar Pradesh,188199,102305,290504,76294,94723,171017
34,Uttarakhand,12465,14141,26606,2715,2719,5434
35,West Bengal,91293,25848,117141,8857,8555,17412
INDIA,INDIA,904326,553462,1457788,267030,222931,489961
