Sl. No.,STATE/U.T.,Full Time Teachers - Male,Full Time Teachers - Female,Full Time Teachers - Total,Para/Contract Teachers - Male,Para/Contract Teachers - Female,Para/Contract Teachers - Total
1,Andaman  Nicobar Islands,330,479,809,16,29,45
2,Andhra Pradesh,43631,38421,82052,12099,12825,24924
3,Arunachal Pradesh,2993,2073,5066,1606,1163,2769
4,Assam,45891,14050,59941,718,336,1054
5,Bihar,76737,40911,117648,23524,19997,43521
6,Chandigarh,48,279,327,46,91,137
7,Chhattisgarh,21788,9835,31623,16665,11658,28323
8,Dadra  Nagar Haveli,284,341,625,90,186,276
9,Daman  Diu,74,120,194,17,17,34
10,Delhi,1210,5892,7102,45,333,378
11,Goa,107,371,478,5,30,35
12,Gujarat,93389,104124,197513,2692,5391,8083
13,Haryana,8484,7784,16268,2592,2056,4648
14,Himachal Pradesh,6099,4375,10474,2614,1523,4137
15,Jammu  Kashmir,27290,20341,47631,6560,4249,10809
16,Jharkhand,24473,10005,34478,28497,8895,37392
17,Karnataka,86319,100545,186864,5053,7894,12947
18,Kerala,12564,30948,43512,515,1296,1811
19,Lakshadweep,98,58,156,18,20,38
20,Madhya Pradesh,86876,68134,155010,8317,7656,15973
21,Maharashtra,97783,90742,188525,8943,8901,17844
22,Manipur,3537,2660,6197,654,542,1196
23,Meghalaya,4965,4411,9376,638,592,1230
24,Mizoram,3879,2378,6257,1121,788,1909
25,Nagaland,2750,1720,4470,435,415,850
26,Orissa,33944,20209,54153,15690,12024,27714
27,Puducherry,462,1026,1488,20,40,60
28,Punjab,7514,12109,19623,1773,4047,5820
29,Rajasthan,127994,62485,190479,11435,6931,18366
30,Sikkim,1166,1013,2179,114,148,262
31,Tamil Nadu,21506,47418,68924,259,1108,1367
32,Tripura,5352,1611,6963,1352,368,1720
33,Uttar Pradesh,138584,75883,214467,10776,8286,19062
34,Uttarakhand,9275,7232,16507,554,972,1526
35,West Bengal,3923,2267,6190,938,471,1409
INDIA,INDIA,1001319,792250,1793569,166391,131278,297669
